ITEM NO.,DESCRIPTION,Manufacturer,PART NUMBER,Supplier,QTY.
1,AC Power Plugs & Receptacles MALE/FEMALE RECEPT PWR IN/OUT 1/4" TERM,Neutrik,NAC3PX,Allied Electronics,1
2,Rocker Switch SPST 15A (AC) 125V Panel Mount; Snap-In,C&K Components,CA04J137207PQ,Digikey,1
3,4 Pole Chassis Connector - 30 A,Neutrik,NL4MP,Allied Electronics,1
4,Neutrik 8 Pole Cable Connector - 30 A,Neutrik,NL8MPR,Allied Electronics,3
5,Flat Head Philliphs Machine Screw 4-40x1/4",McMaster-Carr,91771A106,McMaster-Carr,18
6,Low-Profile Socket Head Screws 6-32x1/4",McMaster-Carr,93615A210,McMaster-Carr,3
7,+15V/3.3A Switching Regulator,Acopian,15WB330,Acopian,1
8,+12V/2.5A Switching Regulator,Acopian,12WB250,Acopian,1
9,+6V/1.75A Linear Regulator,Acopian,6EB175,Acopian,1
10,+6V/1A Linear Regulator,Acopain,6EB100,Acopain,1
11,Socket Head Screw 4-40x3/8",McMaster-Carr,92196A108,McMaster-Carr,32
