PART NUMBER,Manufacturer,DESCRIPTION,Supplier,QTY.
92196A106,McMaster-Carr,"Socket Head Screw 4-40x1/4""",McMaster-Carr,12
92196A215,McMaster-Carr,"Socket Head Screw 4-40x1-5/8""",McMaster-Carr,8
92196A111,McMaster-Carr,"Socket Head Screw 4-40x9/16""",McMaster-Carr,2
92196A076,McMaster-Carr,Socket Head Screw 2-56x3_16,McMaster-Carr,10
92196A302,McMaster-Carr,"Socket Head Screw 4-40x1-1/4""",McMaster-Carr,4
92510A421,McMaster-Carr,"Al Spacer #4-3/16""xOD1_4",McMaster-Carr,12
91292A014,McMaster-Carr,Socket Head Screw M2-0.45x10mm,McMaster-Carr,8
SFFL-SF50+,MiniCircuit,SMA-FEM to SMA-FEM Adapter ,MiniCircuit,16
91292A004,McMaster-Carr,Socket Head Screw M2x0.4_4mm,McMaster-Carr,64
93615A210,McMaster-Carr,"Low-Profile Socket Head Screws 6-32x1/4""",McMaster-Carr,12
NL8MPR,Neutrik,Neutrik 8 Pole Cable Connector - 30 A,Allied Electronics,6
91771A106,McMaster-Carr,"Flat Head Philliphs Machine Screw 4-40x1/4""",McMaster-Carr,30
TDG1026KS-C5E,L-com,Cat5e Coupler -Shielded RJ45,L-com,4
ECF-SK,L-com,RJ45 ECF Keystone Panel Adapter,L-com,4
91772A106,McMaster-Carr,"Pan Head Phillips Machine Screw 4-40x1/4""",McMaster-Carr,12
BA2301,L-com,TNC Female/ Female Bulkhead,L-comm,2
NE8FDX-P6,Neutrik,EtherCon Adapter Chassis Mount D Series CAT6A,Allied Electronics,2
92196A105,McMaster-Carr,"Socket Head Screw 4-40x3/16""",McMaster-Carr,8
92196A190,McMaster-Carr,"Socket Head Screw 8-32x1/4"" ",McMaster-Carr,2
91292A037,McMaster-Carr,Socket Head Screw M2-0.45x30mm,McMaster-Carr,4
92510A427,McMaster-Carr,"Al Spacer #4-3/4""xOD1_4",McMaster-Carr,4
8982K19,McMaster-Carr,"6061 Al 1/4"" Thick 1"" x 1"" Legs",McMaster-Carr,4
G7L-2A-TUBJ-CB-DC12,Omron,General Purpose Relays DPST-NO 12VDC 25A,Mouser,1
NAC3PX,Neutrik,"AC Power Plugs & Receptacles MALE/FEMALE RECEPT PWR IN/OUT 1/4"" TERM",Allied Electronics,1
CA04J137207PQ,C&K Components,Rocker Switch SPST 15A (AC) 125V Panel Mount; Snap-In,Digikey,1
NL4MP,Neutrik,4 Pole Chassis Connector - 30 A,Allied Electronics,2
15WB330,Acopian,+15V/3.3A Switching Regulator,Acopian,1
12WB250,Acopian,+12V/2.5A Switching Regulator,Acopian,1
6EB175,Acopian,+6V/1.75A Linear Regulator,Acopian,1
6EB100,Acopain,+6V/1A Linear Regulator,Acopain,1
92196A108,McMaster-Carr,"Socket Head Screw 4-40x3/8""",McMaster-Carr,32
7527K44,McMaster-Carr,300 VAC/VDC 20 Amps Terminal Block 4 Circuits,McMaster-Carr,1
92196A145,McMaster-Carr,"Socket Head Screw 6-32x5/16""",McMaster-Carr,8
91771A108,McMaster-Carr,"Flat Head Phillips Machine Screw 4-40x3/8""",McMaster-Carr,2
92196A109,McMaster-Carr,"Socket Head Screw 4-40x7/16""",McMaster-Carr,4
92196A140,McMaster-Carr,"Socket Head Screw 2-56x1""",McMaster-Carr,4
92196A077,McMaster-Carr,"Socket Head Screw 2-56x1/4""",McMaster-Carr,24
92196A121,McMaster-Carr,"Socket Head Screw 4-40x2""",McMaster-Carr,4
92510A401,McMaster-Carr,"Al Spacer #2-3/16""xOD1/4""",McMaster-Carr,4
92196A082,McMaster-Carr,"Socket Head Screw 2-56x7/16""",McMaster-Carr,4
